datasetID,method,auxData,metric,result
BREAST,scDesign2,scaledVar,KDEstat,-0.184478374
HOSTEOSARCOMA,scDesign2,scaledVar,KDEstat,3.336803014
HPROSTATE,scDesign2,scaledVar,KDEstat,6.954189783
MBRAIN,scDesign2,scaledVar,KDEstat,0.620771115
MCATUMOR,scDesign2,scaledVar,KDEstat,0.342120047
MCORTEX,scDesign2,scaledVar,KDEstat,2.007416003
MGASTRULA,scDesign2,scaledVar,KDEstat,-0.146747505
MOBNEW,scDesign2,scaledVar,KDEstat,-0.3139057
MUSCLE,scDesign2,scaledVar,KDEstat,5.848377458
PDAC,scDesign2,scaledVar,KDEstat,0.640475572
BREAST,scDesign3_gau,scaledVar,KDEstat,-0.721293445
HOSTEOSARCOMA,scDesign3_gau,scaledVar,KDEstat,0.868622369
HPROSTATE,scDesign3_gau,scaledVar,KDEstat,-0.572440791
MBRAIN,scDesign3_gau,scaledVar,KDEstat,-0.436444677
MCATUMOR,scDesign3_gau,scaledVar,KDEstat,0.350958079
MCORTEX,scDesign3_gau,scaledVar,KDEstat,-0.351429645
MGASTRULA,scDesign3_gau,scaledVar,KDEstat,0.631168499
MOBNEW,scDesign3_gau,scaledVar,KDEstat,-0.263422281
MUSCLE,scDesign3_gau,scaledVar,KDEstat,5.756806612
PDAC,scDesign3_gau,scaledVar,KDEstat,-0.49456511
BREAST,scDesign3_nb,scaledVar,KDEstat,2.652977007
HOSTEOSARCOMA,scDesign3_nb,scaledVar,KDEstat,41.5321603
HPROSTATE,scDesign3_nb,scaledVar,KDEstat,-0.553479261
MBRAIN,scDesign3_nb,scaledVar,KDEstat,28.92837012
MCATUMOR,scDesign3_nb,scaledVar,KDEstat,-0.088993938
MCORTEX,scDesign3_nb,scaledVar,KDEstat,34.25040558
MGASTRULA,scDesign3_nb,scaledVar,KDEstat,1.130979235
MOBNEW,scDesign3_nb,scaledVar,KDEstat,-0.113715267
MUSCLE,scDesign3_nb,scaledVar,KDEstat,19.13410933
PDAC,scDesign3_nb,scaledVar,KDEstat,5.343507732
BREAST,scDesign3_poi,scaledVar,KDEstat,1.784111167
HOSTEOSARCOMA,scDesign3_poi,scaledVar,KDEstat,0.356389962
HPROSTATE,scDesign3_poi,scaledVar,KDEstat,-0.560164253
MBRAIN,scDesign3_poi,scaledVar,KDEstat,-1.114100211
MCATUMOR,scDesign3_poi,scaledVar,KDEstat,2.499588038
MCORTEX,scDesign3_poi,scaledVar,KDEstat,1.320475746
MGASTRULA,scDesign3_poi,scaledVar,KDEstat,-0.039509255
MOBNEW,scDesign3_poi,scaledVar,KDEstat,-0.120344854
MUSCLE,scDesign3_poi,scaledVar,KDEstat,21.90148798
PDAC,scDesign3_poi,scaledVar,KDEstat,-0.490077187
BREAST,SPARsim,scaledVar,KDEstat,209.7997603
HOSTEOSARCOMA,SPARsim,scaledVar,KDEstat,55.9336456
HPROSTATE,SPARsim,scaledVar,KDEstat,0.372295785
MBRAIN,SPARsim,scaledVar,KDEstat,7.138366857
MCATUMOR,SPARsim,scaledVar,KDEstat,1.691212069
MCORTEX,SPARsim,scaledVar,KDEstat,69.9077596
MGASTRULA,SPARsim,scaledVar,KDEstat,5.948974036
MOBNEW,SPARsim,scaledVar,KDEstat,-0.084605987
MUSCLE,SPARsim,scaledVar,KDEstat,53.05937068
PDAC,SPARsim,scaledVar,KDEstat,2.404021104
BREAST,splatter,scaledVar,KDEstat,180.7449022
HOSTEOSARCOMA,splatter,scaledVar,KDEstat,181.535353
HPROSTATE,splatter,scaledVar,KDEstat,197.0258789
MBRAIN,splatter,scaledVar,KDEstat,348.3251781
MCATUMOR,splatter,scaledVar,KDEstat,133.6228756
MCORTEX,splatter,scaledVar,KDEstat,78.77277098
MGASTRULA,splatter,scaledVar,KDEstat,8.523458656
MOBNEW,splatter,scaledVar,KDEstat,6.911578225
MUSCLE,splatter,scaledVar,KDEstat,5.794534445
PDAC,splatter,scaledVar,KDEstat,0.264880675
BREAST,SRTsim,scaledVar,KDEstat,1.057640079
HOSTEOSARCOMA,SRTsim,scaledVar,KDEstat,46.10738573
HPROSTATE,SRTsim,scaledVar,KDEstat,0.664480289
MBRAIN,SRTsim,scaledVar,KDEstat,5.564885495
MCATUMOR,SRTsim,scaledVar,KDEstat,0.286252372
MCORTEX,SRTsim,scaledVar,KDEstat,12.03120425
MGASTRULA,SRTsim,scaledVar,KDEstat,-0.206553089
MOBNEW,SRTsim,scaledVar,KDEstat,-0.12268852
MUSCLE,SRTsim,scaledVar,KDEstat,12.8284706
PDAC,SRTsim,scaledVar,KDEstat,3.081073312
